drug_key	atc	numerator_value	numerator_unit	denominator_value	denominator_unit	actual_unit	route	route_long	hospital_name	n	drug_names
A02BC02_IV_80.0_mg_mg	A02BC02	80	mg	NA	NA	mg	IV	intravenous	bispebjerg, herlev, hvidovre, Rigshospital_almen	670	Pantoloc, Pantoprazol """"Actavis"""", Pantoprazol """"Sandoz""""
A02BC02_GA_40_mg_mg	A02BC02	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	1241	Pantoloc, Pantoloc Nycomed Danmark, Pantoprazol """"Actavis"""", Pantoprazol """"Aurobindo"""", Pantoprazol """"Bluefish"""", Pantoprazol """"KRKA"""", Pantoprazol """"Nycomed"""", Pantoprazol """"Orifarm"""", Pantoprazol """"Sandoz"""", Pantoprazole """"Teva""""
A02BC02_IV_40_mg_mg	A02BC02	40	mg	NA	NA	mg	IV	intravenous	Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	3604	Pantoloc, Pantoloc Nycomed Danmark, Pantoprazol """"Sandoz"""", Pantoprazol Actavis, Trial
A02BC02_IV_40.0_mg_mg	A02BC02	40	mg	NA	NA	mg	IV	intravenous	bispebjerg, herlev, hvidovre, Rigshospital_almen	5471	Pantoloc, Pantoloc Nycomed Danmark, Pantoprazol """"Actavis"""", Pantoprazol """"Nycomed"""", Pantoprazol """"Sandoz""""
A02BC03_GA_30.0_mg_mg	A02BC03	30	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	5	Lansoprazol """"KRKA"""", Lanzo
A02BC03_OR_30_mg_mg	A02BC03	30	mg	NA	NA	mg	OR	oral	Vejle_extract	6	Lanzo, Zolt
A02BC03_GA_15_mg_mg	A02BC03	15	mg	NA	NA	mg	GA	gastrointestinal = peroral	Kolding_extract, Odense_extract	13	Lansoprazol """"Actavis"""", Lansoprazol """"KRKA"""", Lanzo
A02BC03_GA_30_mg_mg	A02BC03	30	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, Kolding_extract, Odense_extract, Svendborg_extract, Vejle_extract	440	Lansopram, Lansoprazol """"Actavis"""", Lansoprazol """"Arrow"""", Lansoprazol """"KRKA"""", Lansoprazol """"Orifarm"""", Lansoprazol """"Pensa"""", Lansoprazol """"Stada"""", Lanzo, Zolt
A02BC05_OR_40.0_mg_mg	A02BC05	40	mg	NA	NA	mg	OR	oral	hvidovre	5	Esomeprazol """"A-Pharma"""", Esomeprazol """"Actavis""""
A02BC05_GA_80.0_mg_mg	A02BC05	80	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	6	Esomeprazol """"Actavis"""", INexium Abacus, Nexium
A02BC05_IV_2.0_mg_mg	A02BC05	2	mg	NA	NA	mg	IV	intravenous	Odense_extract	6	Nexium
A02BC05_IV_8.0_mg_mg/hour	A02BC05	8	mg	1	ml	mg/hour	IV	intravenous	Kolding_extract	6	Nexium
A02BC05_GA_5.0_mg_mg	A02BC05	5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	8	INexium, Nexium
A02BC05_IV_1.0_ml_ml/hour	A02BC05	1	ml	1	ml	ml/hour	IV	intravenous	Kolding_extract	8	Nexium
A02BC05_IV_80.0_mg_mg	A02BC05	80	mg	NA	NA	mg	IV	intravenous	Odense_extract	8	Nexium
A02BC05_IV_0.24_mg_mg/hour	A02BC05	0.24	mg	1	ml	mg/hour	IV	intravenous	hvidovre	9	Nexium
A02BC05_IV_0.32_mg_mg/hour	A02BC05	0.32	mg	1	ml	mg/hour	IV	intravenous	Esbjerg, Odense_extract	14	Nexium
A02BC05_IV_80_mg_mg	A02BC05	80	mg	NA	NA	mg	IV	intravenous	Kolding_extract, Vejle_extract	14	Nexium
A02BC05_IV_10.0_mg_mg	A02BC05	10	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	20	Nexium
A02BC05_GA_10.0_mg_mg	A02BC05	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract, Rigshospital_almen	38	INexium, Nexium
A02BC05_IV_0.8_mg_mg/hour	A02BC05	0.8	mg	1	ml	mg/hour	IV	intravenous	Kolding_extract, Odense_extract, Vejle_extract	51	Esomeprazol """"Stada"""", Nexium
A02BC05_IV_20_mg_mg	A02BC05	20	mg	NA	NA	mg	IV	intravenous	Kolding_extract, Soenderborg_extract, Vejle_extract	62	Nexium
A02BC05_IV_20.0_mg_mg	A02BC05	20	mg	NA	NA	mg	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	105	Esomeprazol """"SUN"""", INexium, Nexium
A02BC05_GA_20.0_mg_mg	A02BC05	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, herlev, hvidovre, Odense_extract, Rigshospital_almen	174	Esomeprazol """"A-Pharma"""", Esomeprazol """"Actavis"""", Esomeprazol """"Orifarm"""", INexium, Nexium, Nexium Orifarm
A02BC05_IV_0.4_mg_mg/hour	A02BC05	0.4	mg	1	ml	mg/hour	IV	intravenous	Esbjerg, Kolding_extract, Odense_extract	219	Esomeprazol Stada, Esomeprazol SUN, Nexium
A02BC05_IV_1.0_mg_mg/hour	A02BC05	1	mg	1	ml	mg/hour	IV	intravenous	Kolding_extract, Odense_extract, Vejle_extract	270	Esomeprazol """"Stada"""", Esomeprazol """"SUN"""", INexium, Nexium, Nexium Orifarm
A02BC05_GA_20_mg_mg	A02BC05	20	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Svendborg_extract	486	Esomeprazol """"Actavis"""", Esomeprazol """"Krka"""", Esomeprazol Actavis, Esomeprazol Orion, Inexium, INexium, Nexium, Nexium mups
A02BC05_GA_40.0_mg_mg	A02BC05	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg, herlev, hvidovre, Odense_extract, Rigshospital_almen	527	Esomeprazol """"A-Pharma"""", Esomeprazol """"Actavis"""", Esomeprazol """"Orifarm"""", Inexium, INexium, INexium Abacus, Nexium, Nexium 2care4, Nexium mups EuroPharmaDK, Nexium Orifarm
A02BC05_IV_40.0_mg_mg	A02BC05	40	mg	NA	NA	mg	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	918	Esomeprazol """"SUN"""", Nexium
A02BC05_IV_40_mg_mg	A02BC05	40	mg	NA	NA	mg	IV	intravenous	Esbjerg, Kolding_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	1186	Esomeprazol """"Stada"""", Inexium, Nexium
A02BC05_GA_40_mg_mg	A02BC05	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	2140	Esomeprazol """"Actavis"""", Esomeprazol Actavis, Esomeprazol Orifarm, Esomeprazol Orion, Esomeprazol Sandoz, Inexium, INexium, Nexium
A02BX02_GA_1_g_g	A02BX02	1	g	NA	NA	g	GA	gastrointestinal = peroral	Odense_extract	5	Antepsin
A03AB02_IV_0.1_mg_mg	A03AB02	0.1	mg	NA	NA	mg	IV	intravenous	bispebjerg	15	Robinul
A03AB02_IV_1.0_ml_ml	A03AB02	1	ml	NA	NA	ml	IV	intravenous	bispebjerg	18	Robinul
A03AB02_IV_0.2_mg_mg	A03AB02	0.2	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, Rigshospital_almen	73	Robinul
A03AX13_GA_40_mg_mg	A03AX13	40	mg	NA	NA	mg	GA	gastrointestinal = peroral	Soenderborg_extract	6	Aeropax
A03BA01_GA_0.5_mg_mg	A03BA01	0.5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	10	Atropin ( Glostrup), Atropin GA, Atropinsulfat SA
A03BA01_GA_0.25_mg_mg	A03BA01	0.25	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	35	Atropin ( Glostrup), Atropin GA, Atropinsulfat SA
A03FA01_GA_10_mg_mg	A03FA01	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	Esbjerg	5	Emperal, Primperan
A03FA01_IV_20_mg_mg	A03FA01	20	mg	NA	NA	mg	IV	intravenous	Vejle_extract	13	Primperan
A03FA01_IV_2.5_mg_mg	A03FA01	2.5	mg	NA	NA	mg	IV	intravenous	hvidovre, Rigshospital_almen, Soenderborg_extract	21	Primperan
A03FA01_IV_5_mg_mg	A03FA01	5	mg	NA	NA	mg	IV	intravenous	bispebjerg, Svendborg_extract, Vejle_extract	66	Primperan
A03FA01_IV_20.0_mg_mg	A03FA01	20	mg	NA	NA	mg	IV	intravenous	bispebjerg, herlev, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract	119	Primperan
A03FA01_IV_10_mg_mg	A03FA01	10	mg	NA	NA	mg	IV	intravenous	bispebjerg, Svendborg_extract, Vejle_extract	296	Primperan
A03FA01_IV_5.0_mg_mg	A03FA01	5	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract	1079	Primperan
A03FA01_IV_10.0_mg_mg	A03FA01	10	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract	2666	Metoclopramidhydrochlorid (Primperan) i NaCl iso.t.100ml, Primperan
A03FA03_GA_10.0_mg_mg	A03FA03	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev	6	Motilium
A04AA01_GA_2.0_mg_mg	A04AA01	2	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	5	Zofran
A04AA01_GA_4.0_mg_mg	A04AA01	4	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	5	Zofran
A04AA01_IV_1.5_mg_mg	A04AA01	1.5	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	5	Ondansetron """"Fresenius Kabi"""", Zofran
A04AA01_IV_2_mg_mg	A04AA01	2	mg	NA	NA	mg	IV	intravenous	Soenderborg_extract	5	Zofran
A04AA01_IV_2.0_mg_mg	A04AA01	2	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	6	Ondansetron """"Fresenius Kabi"""", Zofran
A04AA01_GA_8.0_mg_mg	A04AA01	8	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	11	Zofran
A04AA01_IV_16.0_mg_mg	A04AA01	16	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	13	Zofran
A04AA01_IV_4_mg_mg	A04AA01	4	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, Soenderborg_extract	25	Zofran
A04AA01_IV_8.0_mg_mg	A04AA01	8	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	30	Ondansetron """"B. Braun"""", Zofran
A04AA01_IV_4.0_mg_mg	A04AA01	4	mg	NA	NA	mg	IV	intravenous	herlev, Kolding_extract, Odense_extract, Rigshospital_almen, Vejle_extract	127	Ondansetron """"B. Braun"""", Ondansetron Nycomed, Zofran, Zofran Konserveret
A04AD01_KU_2_applic._applic.	A04AD01	2	applic.	NA	NA	applic.	KU	cutaneous	Soenderborg_extract	5	Scopoderm
A04AD01_TD_1.0_pcs_pcs	A04AD01	1	pcs	NA	NA	pcs	TD	transdermal	bispebjerg	6	Scopoderm
A04AD01_TD_2_pcs_pcs	A04AD01	2	pcs	NA	NA	pcs	TD	transdermal	Kolding_extract	8	Scopoderm
A04AD01_KU_1_mg_mg	A04AD01	1	mg	NA	NA	mg	KU	cutaneous	bispebjerg	10	Scopoderm
A04AD01_TD_1_applic._applic.	A04AD01	1	applic.	NA	NA	applic.	TD	transdermal	Odense_extract, Soenderborg_extract	15	Scopoderm
A04AD01_KU_1.0_mg_mg	A04AD01	1	mg	NA	NA	mg	KU	cutaneous	Kolding_extract, Odense_extract, Soenderborg_extract	28	Scopoderm
A04AD01_KU_1_applic._applic.	A04AD01	1	applic.	NA	NA	applic.	KU	cutaneous	bispebjerg, Kolding_extract, Odense_extract, Soenderborg_extract	32	Scopoderm
A04AD01_KU_1.0_pcs_pcs	A04AD01	1	pcs	NA	NA	pcs	KU	cutaneous	herlev, Odense_extract	40	Scopoderm
A04AD01_TD_1_pcs_pcs	A04AD01	1	pcs	NA	NA	pcs	TD	transdermal	Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract	46	Scopoderm
A04AD01_KU_1_pcs_pcs	A04AD01	1	pcs	NA	NA	pcs	KU	cutaneous	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	68	Scopoderm
A04AD05_PR_5.0_mg_mg	A04AD05	5	mg	NA	NA	mg	PR	rectal	Rigshospital_almen	5	Vogalene
A04AD05_GA_15.0_mg_mg	A04AD05	15	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	8	Vogalene, Vogalene Cooper
A04AD10_GA_2.5_mg_mg	A04AD10	2.5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	5	Marinol
A04AD12_GA_80_mg_mg	A04AD12	80	mg	NA	NA	mg	GA	gastrointestinal = peroral	Odense_extract	5	Emend
A04AD12_GA_80.0_mg_mg	A04AD12	80	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	8	Emend, Emend Startpk 1+2 stk.
A05AA02_GA_500.0_mg_mg	A05AA02	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	9	Ursochol, Ursofalk  Meda, Ursofalk Meda
A05AA02_GA_250.0_mg_mg	A05AA02	250	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	22	Ursochol, Ursofalk  Meda, Ursofalk Meda
A05BA_GA_6.0_g_g	A05BA	6	g	NA	NA	g	GA	gastrointestinal = peroral	Rigshospital_almen	12	Hepa- Merz Merz Pharmaceuticals
A06AB02_GA_5.0_mg_mg	A06AB02	5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	6	Toilax
A06AB02_GA_10.0_mg_mg	A06AB02	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	herlev, Rigshospital_almen	14	Perilax, Toilax
A06AB02_PR_10_mg_mg	A06AB02	10	mg	NA	NA	mg	PR	rectal	bispebjerg, Vejle_extract	14	Dulcolax
A06AB02_GA_5_mg_mg	A06AB02	5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Kolding_extract, Soenderborg_extract	24	Perilax, Toilax
A06AB08_GA_0.001_mg_mg	A06AB08	0.001	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	5	Actilax
A06AB08_GA_30_drops_drops	A06AB08	30	drops	NA	NA	drops	GA	gastrointestinal = peroral	Vejle_extract	5	Actilax
A06AB08_GA_1.0_ml_ml	A06AB08	1	ml	NA	NA	ml	GA	gastrointestinal = peroral	Rigshospital_almen	6	Actilax
A06AB08_GA_1_drops_drops	A06AB08	1	drops	NA	NA	drops	GA	gastrointestinal = peroral	bispebjerg	6	Actilax
A06AB08_GA_8.0_drops_drops	A06AB08	8	drops	NA	NA	drops	GA	gastrointestinal = peroral	Odense_extract	6	Actilax
A06AB08_GA_15.0_mg_mg	A06AB08	15	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	7	Actilax, Laxoberal, Picolon
A06AB08_GA_3.75_mg_mg	A06AB08	3.75	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	8	Actilax
A06AB08_GA_1.0_drops_drops	A06AB08	1	drops	NA	NA	drops	GA	gastrointestinal = peroral	Rigshospital_almen	10	Actilax
A06AB08_GA_10.0_mg_mg	A06AB08	10	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	10	Actilax
A06AB08_GA_7.5_drops_drops	A06AB08	7.5	drops	NA	NA	drops	GA	gastrointestinal = peroral	Rigshospital_almen	12	Actilax
A06AB08_GA_7.5_mg_mg	A06AB08	7.5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	20	Actilax, Laxoberal, Picolon
A06AB08_GA_12_drops_drops	A06AB08	12	drops	NA	NA	drops	GA	gastrointestinal = peroral	Esbjerg	28	Actilax, Laxoberal
A06AB08_GA_5.0_mg_mg	A06AB08	5	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	57	Actilax, Laxoberal, Picolon
A06AB08_GA_5_drops_drops	A06AB08	5	drops	NA	NA	drops	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Vejle_extract	65	Actilax, Laxoberal
A06AB08_GA_20.0_drops_drops	A06AB08	20	drops	NA	NA	drops	GA	gastrointestinal = peroral	Odense_extract, Rigshospital_almen	83	Actilax
A06AB08_GA_5.0_drops_drops	A06AB08	5	drops	NA	NA	drops	GA	gastrointestinal = peroral	herlev, hvidovre, Odense_extract, Rigshospital_almen	139	Actilax, Picolon
A06AB08_GA_20_drops_drops	A06AB08	20	drops	NA	NA	drops	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Vejle_extract	210	Actilax, Laxoberal
A06AB08_GA_15.0_drops_drops	A06AB08	15	drops	NA	NA	drops	GA	gastrointestinal = peroral	herlev, hvidovre, Odense_extract, Rigshospital_almen	406	Actilax, Laxoberal, Picolon
A06AB08_GA_15_drops_drops	A06AB08	15	drops	NA	NA	drops	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	517	Actilax, Laxoberal
A06AB08_GA_10_drops_drops	A06AB08	10	drops	NA	NA	drops	GA	gastrointestinal = peroral	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	2722	Actilax, Laxoberal, Picolon
A06AB08_GA_10.0_drops_drops	A06AB08	10	drops	NA	NA	drops	GA	gastrointestinal = peroral	herlev, hvidovre, Odense_extract, Rigshospital_almen	3362	Actilax, Laxoberal, Picolon
A06AD_GA_1_applic._applic.	A06AD	1	applic.	NA	NA	applic.	GA	gastrointestinal = peroral	Esbjerg	14	Moviprep
